	subsys4	indices	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
5178	Probable transcriptional activator for leuABCD operon	5178	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5179	Probable transcriptional regulator of trehalose utilization, LuxR family	5179	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5180	Probable transmembrane heme sensor	5180	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5181	Probable two-component sensor, near polyamine transporter	5181	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5182	Probable vanillate O-demethylase oxygenase subunit oxidoreductase protein (EC 1.14.13.-)	5182	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5183	Probable VANILLIN dehydrogenase oxidoreductase protein (EC 1.-.-.-)	5183	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5184	Programmed cell death antitoxin ChpS	5184	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5185	Programmed cell death antitoxin MazE	5185	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5186	Programmed cell death antitoxin PemI	5186	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5187	Programmed cell death antitoxin YdcD	5187	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5188	Programmed cell death toxin ChpB	5188	10	1	1	1	1	23	1	1	1	1	125	1	3	0	1	1	1	1	1	1
5189	Programmed cell death toxin MazF	5189	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5190	Programmed cell death toxin PemK	5190	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5191	Programmed cell death toxin YdcE	5191	10	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0
5192	Prohead core scaffold protein and protease	5192	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5193	Prokaryotic ubiquitin-like protein Pup	5193	10	1	1	1	1	1	1	1	1	7	0	1	3	0	1	20	1	1	1	1
5194	Proline 2-methylase for pyrrolysine biosynthesis	5194	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5195	Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase)	5195	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5196	Proline iminopeptidase (EC 3.4.11.5)	5196	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5197	Proline racemase (EC 5.1.1.4)	5197	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	2327	1	1	1	1
5198	Proline-specific permease proY	5198	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5199	Proline/sodium symporter PutP (TC 2.A.21.2.1)	5199	10	1	3	35	10	0	0	1	12	1	0	1	54	0	1	0	0	7	2	0
5200	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	5200	10	1	6	0	8	5	0	2	2	5	1	7	18	0	0	1	0	0	16	9
5201	Prolyl endopeptidase (EC 3.4.21.26)	5201	10	46	1	1	1	6	73	1	8	1	1279	1	3	458	5	1	42	94	35	2293
5202	prolyl oligopeptidase family protein	5202	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5203	Prolyl-tRNA synthetase (EC 6.1.1.15)	5203	10	1	1	1	1	437	1	9	1	1	0	1	3	0	1	1	11	1	1	1
5204	Proofreading thioesterase in enterobactin biosynthesis EntH	5204	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5205	Propanediol dehydratase large subunit (EC 4.2.1.28)	5205	10	1	1	1	1	1	7	1	1	1	0	1	3	0	15	1	21	1	1	1
5206	Propanediol dehydratase medium subunit (EC 4.2.1.28)	5206	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5207	Propanediol dehydratase reactivation factor large subunit	5207	10	15	35	1	1	201	1	9	1	1	0	1	3	1490	1	1	1	542	9	1
5208	Propanediol dehydratase reactivation factor small subunit	5208	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5209	Propanediol dehydratase small subunit (EC 4.2.1.28)	5209	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5210	Propanediol diffusion facilitator	5210	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5211	Propanediol utilization polyhedral body protein PduA	5211	10	1	1	1	1	1	1	1	1	1	57	1	3	0	1	1	1	1	1	1
5212	Propanediol utilization polyhedral body protein PduB	5212	10	1	9	1	1	69	1	1	1	1	0	1	3	572	1	4	1	224	1	1
5213	Propanediol utilization polyhedral body protein PduJ	5213	10	1	1	1	1	29	1	1	1	1	0	1	3	139	1	1	1	7	1	5
5214	Propanediol utilization polyhedral body protein PduK	5214	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5215	Propanediol utilization polyhedral body protein PduN	5215	10	1	1	1	6	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5216	Propanediol utilization polyhedral body protein PduT	5216	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5217	Propanediol utilization polyhedral body protein PduU	5217	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5218	Propanediol utilization protein PduL	5218	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5219	Propanediol utilization protein PduM	5219	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5220	Propanediol utilization protein PduV	5220	10	1	1	1	1	1	1	1	1	1	22	1	3	0	1	1	1	1	1	1
5221	Propanediol utilization transcriptional activator	5221	10	9	0	1	2	1	0	1	3	3	1	0	6	0	0	1	3	0	1	0
5222	Prophage Clp protease-like protein	5222	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5223	Propionate catabolism operon regulatory protein PrpR	5223	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5224	Propionate catabolism operon transcriptional regulator of GntR family [predicted]	5224	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5225	Propionate kinase, propanediol utilization (EC 2.7.2.1)	5225	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5226	Propionate--CoA ligase (EC 6.2.1.17)	5226	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5227	Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	5227	10	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5228	Propionyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.3)	5228	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5229	Propionyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.3)	5229	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5230	Proposed lipoate regulatory protein YbeD	5230	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5231	Proposed peptidoglycan lipid II flippase MurJ	5231	10	1	1	1	1	6	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5232	ProQ: influences osmotic activation of compatible solute ProP	5232	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5233	Protease III precursor (EC 3.4.24.55)	5233	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5234	Protease VII (Omptin) precursor (EC 3.4.23.49)	5234	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5235	proteasome regulatory subunit p28	5235	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5236	proteasome regulatory subunit Rpn10	5236	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5237	proteasome regulatory subunit Rpn11	5237	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5238	proteasome regulatory subunit Rpn5	5238	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5239	proteasome regulatory subunit Rpn6	5239	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5240	proteasome regulatory subunit Rpn8	5240	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5241	Proteasome subunit alpha (EC 3.4.25.1), archaeal	5241	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5242	Proteasome subunit alpha (EC 3.4.25.1), bacterial	5242	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5243	Proteasome subunit beta (EC 3.4.25.1), archaeal	5243	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5244	Proteasome subunit beta (EC 3.4.25.1), bacterial	5244	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5245	proteasome subunit beta2 (EC 3.4.25.1)	5245	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5246	Proteasome-activating AAA-ATPase (PAN), archaeal	5246	10	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0
5247	Protein A, von Willebrand factor binding protein Spa	5247	10	0	27	5	0	0	0	0	415	0	0	0	0	0	1	111	0	1	0	0
5248	Protein acetyltransferase	5248	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5249	Protein AraJ precursor	5249	10	0	2	0	7	0	0	7	0	20	1	0	1	0	0	4	0	0	2	6
5250	protein arginine methyltransferase type 2 (SDMA formation)	5250	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5251	Protein arginine N-methyltransferase 1 (EC 2.1.1.-)	5251	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5252	Protein BchJ, involved in reduction of C-8 vinyl of divinyl protochlorophyllide	5252	10	1	1	9	1	1	13	1	1	1	0	1	364	0	1	1	1	1	1	1
5253	Protein clustered with ethanolamine utilization	5253	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5254	Protein co-occuring with molybdenum cofactor biosynthesis protein B	5254	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5255	Protein containing plastocyanin/azurin family domain	5255	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5256	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	5256	10	1	1	9	1	75	13	1	8	1	0	1	3	2	1	1	1	11	1	1
5257	Protein export cytoplasm protein SecA2 ATPase RNA helicase (TC 3.A.5.1.1)	5257	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5258	protein from nitrogen regulatory protein P-II (GLNB) family, ortholog YAAQ B. subtilis	5258	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5259	Protein G-related alpha 2 macroglobulin-binding protein (GRAB)	5259	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5260	Protein gp10 [Bacteriophage A118]	5260	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
5261	Protein gp13 [Bacteriophage A118]	5261	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5262	Protein gp15 [Bacteriophage A118]	5262	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5263	Protein gp22 [Bacteriophage A118]	5263	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5264	Protein gp35 [Bacteriophage A118]	5264	10	1	35	1	1	1	1	1	1	576	8	1	3	0	10	1	1	1	1	181
5265	Protein gp37 [Bacteriophage A118]	5265	10	1	9	1	1	1	1	1	1	1	0	1	3	2	1	1	1	1	1	1
5266	Protein gp47, recombination-related [Bacteriophage A118]	5266	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5267	Protein gp49, replication initiation [Bacteriophage A118]	5267	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5268	Protein gp51 [Bacteriophage A118]	5268	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5269	Protein gp63 [Bacteriophage A118]	5269	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5270	Protein gp7 [Bacteriophage A118]	5270	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5271	Protein gp8 [Bacteriophage A118]	5271	10	30	1	3	4	1	0	0	6	1	3	0	6	0	1	6	0	0	1	0
5272	Protein gp9 [Bacteriophage A118]	5272	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5273	Protein ImpG/VasA	5273	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5274	Protein InvG precursor	5274	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5275	Protein involved in catabolism of external DNA	5275	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5276	Protein involved in meta-pathway of phenol degradation	5276	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5277	Protein involved in stability of MscS mechanosensitive channel	5277	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5278	Protein LiaH, similar to phage shock protein A	5278	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5279	Protein LiaI	5279	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5280	Protein NinB	5280	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5281	Protein NinE	5281	10	1	1	1	1	12	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5282	Protein NinG	5282	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5283	Protein of avirulence locus ImpE	5283	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5284	Protein of unknown function DUF1009 clustered with KDO2-Lipid A biosynthesis genes	5284	10	1	1	1	1	1	1	1	8	1	0	1	3	0	1	1	1	1	1	1
5285	protein of unknown function DUF1036	5285	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5286	protein of unknown function DUF1244	5286	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5287	protein of unknown function DUF1403	5287	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5288	Protein of unknown function DUF1447	5288	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5289	Protein of unknown function DUF156	5289	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5290	Protein of unknown function DUF374	5290	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5291	Protein of unknown function DUF484	5291	10	23	18	1	1	1	1	1	1	1	239	1	3	550	1	1	1	239	69	1
5292	Protein of unknown function DUF541	5292	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5293	Protein of unknown function DUF81	5293	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5294	Protein of unknown function DUF81, SAV0084 homolog	5294	10	8	1	55	1	1	7	1	1	1	0	11	3	0	56	1	1	1	1	1
5295	protein of unknown function DUF882	5295	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5296	Protein of unknown function identified by role in sporulation (SpoVG)	5296	10	8	1	1	1	12	1	1	1	1	0	1	182	7	1	1	11	58	9	1
5297	Protein of unknown function Smg	5297	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5298	Protein of unknown function YceH	5298	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5299	Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII	5299	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5300	Protein PE35, involved in regulation of esxAB expression	5300	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5301	Protein phosphatase ImpM	5301	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5302	Protein RcsF	5302	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5303	Protein RtcB	5303	10	1	1	1	1	1	1	1	1	1	79	1	3	34	1	1	1	1	1	214
5304	Protein secretion chaperonin CsaA	5304	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5305	Protein serine/threonine phosphatase PrpC, regulation of stationary phase	5305	10	3	4	5	2	1	38	2	9	10	2	3	76	2	0	1	9	0	11	13
5306	Protein similar to glutamate synthase [NADPH] small chain, clustered with sulfite reductase	5306	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5307	Protein SseB	5307	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5308	Protein TadG, associated with Flp pilus assembly	5308	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5309	Protein with similarity to RtcB	5309	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5310	Protein YaiA	5310	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5311	Protein YaiI	5311	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5312	Protein YcgL	5312	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5313	Protein YhjJ, putative peptidase	5313	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5314	Protein YicC	5314	10	1	1	1	1	98	1	1	1	1	0	1	37	0	1	1	1	1	1	1
5315	Protein YigP (COG3165) clustered with ubiquinone biosynthetic genes	5315	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5316	Protein YkiA	5316	10	1	9	1	1	1	1	1	1	1	89	1	3	213	1	1	1	11	26	1
5317	Protein-export membrane protein SecF (TC 3.A.5.1.1)	5317	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5318	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)	5318	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5319	Proteinase maturation protein (RopA)	5319	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5320	Proteorhodopsin	5320	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5321	Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3)	5321	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5322	Protocatechuate 3,4-dioxygenase beta chain (EC 1.13.11.3)	5322	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5323	Protocatechuate 4,5-dioxygenase alpha chain (EC 1.13.11.8)	5323	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5324	Protocatechuate 4,5-dioxygenase beta chain (EC 1.13.11.8)	5324	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5325	Proton/glutamate symport protein	5325	10	1	1	1	1	1	1	1	1	1	0	1	3	0	5	1	1	1	1	1
5326	Protoporphyrin IX Mg-chelatase subunit D (EC 6.6.1.1)	5326	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5327	Protoporphyrin IX Mg-chelatase subunit H (EC 6.6.1.1)	5327	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5328	Protoporphyrin IX Mg-chelatase subunit I (EC 6.6.1.1)	5328	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5329	Protoporphyrinogen IX oxidase, aerobic (EC 1.3.3.4)	5329	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5330	Protoporphyrinogen IX oxidase, oxygen-independent, HemG (EC 1.3.-.-)	5330	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5331	PrpF protein involved in 2-methylcitrate cycle	5331	10	1	1	1	1	1	1	1	8	1	0	1	3	0	1	1	1	1	1	1
5332	Pseudaminic acid biosynthesis protein PseA, possible Pse5Ac7Ac acetamidino synthase	5332	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5333	Pseudolysin, extracellular zinc protease (EC 3.4.24.26)	5333	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5334	Pseudouridine 5'-phosphate glycosidase	5334	10	1	0	1	0	0	0	1	2	0	0	1	1	0	0	1	0	0	1	0
5335	Pseudouridine kinase (EC 2.7.1.83)	5335	10	1	941	9	1	1	1	1	1	356	20	1	3	0	1	1	1	1	1	79
5336	Pseudouridine synthase family protein	5336	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5337	Psp operon transcriptional activator	5337	10	1	1	1	1	12	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5338	Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)	5338	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5339	PTS system permease (IIAMan), nitrogen regulatory IIA protein	5339	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5340	PTS system, arbutin-, cellobiose-, and salicin-specific IIBC component (EC 2.7.1.69)	5340	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5341	PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	5341	10	466	1	1	1	1	1	2045	1	1	0	1042	3	0	177	1	1	1	1	1
5342	PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)	5342	10	1	9	1	1	92	1	1	1	1	0	1	3	0	1	1	21	173	1	1
5343	PTS system, cellobiose-specific IIA component (EC 2.7.1.69)	5343	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5344	PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	5344	10	1	1	1	1	17	1	1	1	1	0	1	3	7	1	1	1	25	1	139
5345	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	5345	10	15	1	1	1359	1	1	1	82	1	0	92	3	0	1	4	1	33	18	125
5346	PTS system, chitobiose-specific IIA component (EC 2.7.1.69)	5346	10	1	1	1	1	1	1	1	1	1	10	1	3	0	1	1	1	1	9	1
5347	PTS system, chitobiose-specific IIB component (EC 2.7.1.69)	5347	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5348	PTS system, chitobiose-specific IIC component (EC 2.7.1.69)	5348	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5349	PTS system, D-allose-specific IIA component (EC 2.7.1.69)	5349	10	1	1	1	6	6	1	1	1	1	6	1	3	5	1	1	42	116	1	283
5350	PTS system, diacetylchitobiose-specific IIB component (EC 2.7.1.69)	5350	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5351	PTS system, diacetylchitobiose-specific IIC component (EC 2.7.1.69)	5351	10	1	1	1	82	1	1	1	17	1	0	1	3	0	1	1	1	1	1	19
5352	PTS system, fructose- and mannose-inducible IIA component (EC 2.7.1.69)	5352	10	6	4	3	0	2	4	1	3	10	0	25	7	1	38	2	1	14	0	8
5353	PTS system, fructose- and mannose-inducible IIB component (EC 2.7.1.69)	5353	10	1	1	1	1	1	1	1	1	1	2	1	3	0	1	1	1	1	1	1
5354	PTS system, fructose- and mannose-inducible IIC component (EC 2.7.1.69)	5354	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5355	PTS system, fructose- and mannose-inducible IID component (EC 2.7.1.69)	5355	10	1	1	1	1	1	1	1	25	1	0	1	37	0	1	1	1	1	1	1
5356	PTS system, fructose- and mannose-inducible putative EII component	5356	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5357	PTS system, fructose-specific IIA component (EC 2.7.1.69)	5357	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5358	PTS system, fructose-specific IIB component (EC 2.7.1.69)	5358	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5359	PTS system, fructose-specific IIC component (EC 2.7.1.69)	5359	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5360	PTS system, galactitol-specific IIA component (EC 2.7.1.69)	5360	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5361	PTS system, galactitol-specific IIB component (EC 2.7.1.69)	5361	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5362	PTS system, galactitol-specific IIC component (EC 2.7.1.69)	5362	10	1	1	1	1	1	1	1	1	1	0	1	3	0	15	1	1	1	1	1
5363	PTS system, galactosamine-specific IIB component (EC 2.7.1.69)	5363	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5364	PTS system, galactosamine-specific IIC component (EC 2.7.1.69)	5364	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5365	PTS system, galactosamine-specific IID component (EC 2.7.1.69)	5365	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5366	PTS system, galactose-inducible IIA component (EC 2.7.1.69)	5366	10	8	1	1	93	1	1	1	8	1	0	1	3	0	1	1	1	1	9	5
5367	PTS system, galactose-inducible IIB component (EC 2.7.1.69) / PTS system, galactose-inducible IIC component (EC 2.7.1.69)	5367	10	1	1	1	1	1	1	1	1	1	14	1	3	0	1	1	1	1	1	1
5368	PTS system, galactose-specific IIA component (EC 2.7.1.69)	5368	10	1	1	9	1	1	1	1	1	1	0	1	3	0	15	1	1	1	1	1
5369	PTS system, galactose-specific IIB component (EC 2.7.1.69)	5369	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5370	PTS system, galactose-specific IIC component (EC 2.7.1.69)	5370	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5371	PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)	5371	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5372	PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components (EC 2.7.1.69)	5372	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5373	PTS system, glucitol/sorbitol-specific IIC component (EC 2.7.1.69)	5373	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5374	PTS system, glucose-specific IIA component (EC 2.7.1.69)	5374	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5375	PTS system, glucose-specific IIC component (EC 2.7.1.69)	5375	10	34	0	0	19	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0
5376	PTS system, lactose-specific IIA component (EC 2.7.1.69)	5376	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
