	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
PTS system permease (IIAMan), nitrogen regulatory IIA protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, arbutin-, cellobiose-, and salicin-specific IIBC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	10	466	1	1	1	1	1	2045	1	1	0	1042	3	0	177	1	1	1	1	1
PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)	10	1	9	1	1	92	1	1	1	1	0	1	3	0	1	1	21	173	1	1
PTS system, cellobiose-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	17	1	1	1	1	0	1	3	7	1	1	1	25	1	139
PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	10	15	1	1	1359	1	1	1	82	1	0	92	3	0	1	4	1	33	18	125
PTS system, chitobiose-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	10	1	3	0	1	1	1	1	9	1
PTS system, chitobiose-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, chitobiose-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, D-allose-specific IIA component (EC 2.7.1.69)	10	1	1	1	6	6	1	1	1	1	6	1	3	5	1	1	42	116	1	283
PTS system, diacetylchitobiose-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, diacetylchitobiose-specific IIC component (EC 2.7.1.69)	10	1	1	1	82	1	1	1	17	1	0	1	3	0	1	1	1	1	1	19
PTS system, fructose- and mannose-inducible IIA component (EC 2.7.1.69)	10	6	4	3	0	2	4	1	3	10	0	25	7	1	38	2	1	14	0	8
PTS system, fructose- and mannose-inducible IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	2	1	3	0	1	1	1	1	1	1
PTS system, fructose- and mannose-inducible IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, fructose- and mannose-inducible IID component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	25	1	0	1	37	0	1	1	1	1	1	1
PTS system, fructose- and mannose-inducible putative EII component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, fructose-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, fructose-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, fructose-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, galactitol-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, galactitol-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, galactitol-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	15	1	1	1	1	1
PTS system, galactosamine-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, galactosamine-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, galactosamine-specific IID component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, galactose-inducible IIA component (EC 2.7.1.69)	10	8	1	1	93	1	1	1	8	1	0	1	3	0	1	1	1	1	9	5
PTS system, galactose-inducible IIB component (EC 2.7.1.69) / PTS system, galactose-inducible IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	14	1	3	0	1	1	1	1	1	1
PTS system, galactose-specific IIA component (EC 2.7.1.69)	10	1	1	9	1	1	1	1	1	1	0	1	3	0	15	1	1	1	1	1
PTS system, galactose-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, galactose-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, glucitol/sorbitol-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, glucose-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, glucose-specific IIC component (EC 2.7.1.69)	10	34	0	0	19	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0
PTS system, lactose-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, lactose-specific IIC component (EC 2.7.1.69)	10	8	9	55	11	23	80	93	33	1	2	143	3	0	10	20	11	58	95	1
PTS system, maltose and glucose-specific IIA component (EC 2.7.1.69)	10	1	9	18	65	1	1	17	66	1	12	1	109	2	1	1	1	4	87	1
PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	8	1	0	1	3	3	1	1	1	1	1	1
PTS system, mannitol-specific cryptic IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, mannitol-specific cryptic IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, mannitol-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, mannitol-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, mannose-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, mannose-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, mannose-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	9	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, mannose-specific IID component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, N-acetylgalactosamine- and galactosamine-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	6	1	1	8	1	0	1	3	0	369	471	1	6581	1	1
PTS system, N-acetylgalactosamine-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, N-acetylgalactosamine-specific IID component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, N-acetylmuramic acid-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	29	1	1	1	1	0	1	3	0	1	1	1	4	1	5
PTS system, sorbose-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, sorbose-specific IIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, sorbose-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	17	1	1	1	1	107	1	3	39	1	1	1	1	1	1
PTS system, sorbose-specific IID component (EC 2.7.1.69)	10	1	1	1	1	12	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, sucrose-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, tagatose-specific IIA-TPr component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, tagatose-specific IIBC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PTS system, trehalose-specific IIA component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	20	1	1	282	1	1
PTS system, trehalose-specific IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Pullulanase (EC 3.2.1.41)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Pup ligase PafA, possible component of postulated heterodimer PafA-PafA'	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Pup ligase PafA' paralog, possible component of postulated heterodimer PafA-PafA'	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Purine cyclase-related protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Purine nucleoside phosphorylase (EC 2.4.2.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Purine nucleotide synthesis repressor	10	1	1	18	1	1	87	1	1	1	0	21	3	0	1	1	1	7	1	1
Purine trans deoxyribosylase (Nucleoside deoxyribosyltransferase-I) (EC 2.4.2.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
PurR: transcription regulator associated with purine metabolism	10	1	1	1	1	6	1	1	1	45	0	21	364	0	51	1	1	18	1	1
Putative 2-keto-3-deoxygluconate kinase (EC 2.7.1.45)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	10	92	44	28	11	23	1	42	17	91	75	11	73	7	51	8	11	51	9	1
Putative 2Fe-2S ferredoxin CbiW involved in B12 biosynthesis	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative 3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase oxidoreductase protein (EC 1.1.1.50)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative 3-hydroxyacyl-coa dehydrogenase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative 3-hydroxyphenylpropionic acid porine	10	1	44	1	1	1	1	1	1	1	0	1	3	0	1	1	145	1	1	1
Putative 3-oxoacyl-[acyl-carrier-protein] synthase III in AHQ biosynthetic operon, related to PqsB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative 4-hydroxybenzoyl-CoA thioesterase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase oxidoreductase protein (EC 1.2.1.60)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative ABC transporter (ATP-binding protein), spy1791 homolog	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative ABC transporter ATP-binding protein, spy1790 homolog	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative ABC transporter of substrate X, ATP-binding subunit	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative ABC transporter of substrate X, permease subunit I	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative ABC transporter of substrate X, permease subunit II	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative ABC-type amino-acid transporter permease protein	10	1	1	9	1	12	1	1	1	20	0	1	3	0	1	8	1	1	1	1
Putative achromobactin biosynthesis protein, related to 2-demethylmenaquinone methyltransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative activity regulator of membrane protease YbbK	10	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative Acyl-CoA thiolase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative Adenosine kinase (EC 2.7.1.20)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative aldolase YdjI	10	1	18	1	1	1	1	1	8	1	127	1	3	689	1	1	1	249	174	5
putative alkaline phosphatase-like protein	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0
Putative alkylsulfatase (EC 1.14.11.17)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative alpha-glucosidase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative amidotransferase (Type 1 glutamine amidotransferase - GATase1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative amino-acid transport protein	10	75	7	1	2	0	1	40	0	164	0	0	1	37	0	1	1	0	1	0
Putative analog of CcoH, COG3198	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative antibiotic transport-associated protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative arylsulfatase regulatory protein	10	0	0	0	0	8	0	0	0	0	1	0	0	2	0	0	0	2	2	0
putative ATP-dependent DNA helicase YjcD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative bacterial haemoglobin	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative benzaldehyde dehydrogenase oxidoreductase protein (EC 1.2.1.28)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative capsular polysaccharide transport protein YegH	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative carbohydrate kinase in cluster with fructose-bisphosphate aldolase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	9	1
Putative carbohydrate PTS system, IIA component (EC 2.7.1.69)	10	1	1	9	1	1	1	1	1	1	0	1	3	190	1	1	1	1	78	1
Putative carbohydrate PTS system, IIB component (EC 2.7.1.69)	10	1	1	1	6	1	1	1	1	1	0	1	3	82	1	1	1	148	9	1
Putative carbohydrate PTS system, IIC component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	8	1	0	1	3	84	1	1	1	4	1	1
putative carboxysome peptide A	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative carboxysome peptide B	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative CDP-glycerol:glycerophosphate glycerophosphotransferase (EC 2.7.8.-)	10	11	64	3	0	2	0	7	0	9	1	0	0	1	32	1	3	21	3	2
Putative CDP-glycosylpolyol phosphate:glycosylpolyol glycosylpolyolphosphotransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative chaperon-like protein Ycf39 for quinone binding in Photosystem II	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative coenzyme F420-dependent oxidoreductase MJ1349	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative conjugative transposon mobilization protein BF0132	10	31	1	1	1	1	1	1	1	1	2	1	3	0	223	1	1	1	1	1
Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent (EC 1.3.99.22), in heat shock gene cluster	10	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0
putative CRISPR associated hypothetical protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative curli production protein CsgC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative cyclic di-GMP phosphodiesterase, EAL domain protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative Cytochrome bd2, subunit I	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative Cytochrome bd2, subunit II	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative cytochrome C-type biogenesis protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative cytochrome P450 hydroxylase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative cytochrome P450 IgrA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative cytoplasmic protein ,probably associated with Glutathione-regulated potassium-efflux	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative cytoplasmic protein clustered with trehalase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative cytoplasmic protein USSDB7A	10	1	1	1	1	121	1	1	1	1	0	1	3	0	5	1	1	7	1	5
Putative deacetylase YgeY	10	1	1	1	1	1	7	1	1	1	0	1	3	0	5	1	1	1	1	1
Putative deoxyribonuclease similar to YcfH, type 2	10	0	0	3	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0
Putative deoxyribonuclease similar to YcfH, type 3	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative deoxyribonuclease similar to YcfH, type 4	10	1	1	1	1	12	1	9	1	26	0	1	3	0	1	1	1	1	1	1
Putative deoxyribonuclease similar to YcfH, type 5	10	1	1	1	1	1	1	1	1	1	0	1	3	0	380	207	1	1558	1	1
Putative deoxyribonuclease YcfH	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative deoxyribonuclease YjjV	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative deoxyribose-specific ABC transporter, ATP-binding protein	10	6	2	100	41	1	3	4	60	3	0	7	25	0	1	1	9	26	7	0
Putative deoxyribose-specific ABC transporter, permease protein	10	1	1	1	1	1	7	1	1	7	0	31	3	0	1	1	1	1	1	1
Putative Desferrioxamine E transporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative DHNTP pyrophosphatase	10	1	1	1	1	29	1	1	1	1	265	1	3	17	1	1	52	1	1	1
Putative diaminopropionate ammonia-lyase (EC 4.3.1.15)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative diheme cytochrome c-553	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative dihydroxyacetone kinase (EC 2.7.1.29), ADP-binding subunit	10	0	2	0	1	5	3	0	0	0	1	11	0	0	0	0	0	0	1	0
Putative dihydroxyacetone kinase (EC 2.7.1.29), dihydroxyacetone binding subunit	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative dioxygenase, alpha subunit (EC 1.-.-.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative dipeptidase, pyoverdin biosynthesis PvdM	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative DNA helicase, superantigen-encoding pathogenicity islands SaPI	10	8	1080	1	1	1	1	110	1	1	0	1	3	0	1	45	1	1	113	1
putative DNA N-6-adenine methyltransferase	10	8	1	1	1	1	1	1	8	1	91	1	3	0	1	1	1	296	1	1
Putative DNA-binding protein in cluster with Type I restriction-modification system	10	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	2	0	0
Putative DNA-binding protein Roi of bacteriophage BP-933W	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative efflux (PET) family inner membrane protein YccS	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative endopeptidase	10	1	1	1	1	1	7	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative EsaC protein analog (Listeria type 1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative EsaC protein analog (Listeria type 3)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	4	1	1
Putative ESAT-secreted protein, BA2187 homolog	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative esterase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative esterase, FIGfam005057	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative ESX-1 secretion system component Rv3869	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative ESX-1 secretion system component Rv3877	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative ESX-1 secretion system gating protein PPE68	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative exported protein clustered with Gamma-glutamyltranspeptidase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative facilitator of salicylate uptake	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative fibronectin domain-containing lipoprotein	10	1	1	3010	1	1	1	93	1228	1	0	1	3	0	1	1	1	849	1	1
Putative formate dehydrogenase iron-sulfur subunit (EC 1.2.1.2)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative formate dehydrogenase oxidoreductase protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative formate dehydrogenase-specific chaperone	10	8	1	9	1	1	1	1	17	13	0	1	3	0	1	1	1	1	1	1
Putative formate dehydrogenase, cytochrome B subunit (EC 1.2.1.2)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative fumarylacetoacetate (FAA) hydrolase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative glucanase glgE (EC 3.2.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative glutamine synthetase, Rickettsiales type (EC 6.3.1.2)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative glutathione transporter, ATP-binding component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative glutathione transporter, permease component	10	1	1	1	1	1	13	1	1	1	635	1	3	201	1	1	1	51	1	1151
Putative glutathione transporter,solute-binding component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative Glutathione-regulated potassium-efflux system protein KefB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative gluthatione transporter,solute-binding component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative glycogen debranching enzyme, archaeal type, TIGR01561	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative glycosyl hydrolase of unknown function (DUF1680)	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative glycosyl/glycerophosphate transferase in teichoic acid biosynthesis	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative glycosyltransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative glycosyltransferase - possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative glycosyltransferase protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative glycosyltransferase protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative GntR-family regulatory protein and aminotransferase near polyamine transporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative GTP-binding protien TM0445	10	1	2	2	1	0	2	0	1	2	0	2	21	0	0	0	2	0	2	10
Putative heat shock protein YegD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative heme iron utilization protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative Heme-regulated two-component response regulator	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
putative hemin permease	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative high-affinity iron permease	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative histidine ammonia-lyase protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative Holliday junction resolvase (EC 3.1.-.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative HTH-type transcriptional regulator YdjF	10	8	1	1	1	6	1	1	1	1	344	1	3	220	1	1	1	54	43	1
Putative hydrolase in cluster with formaldehyde/S-nitrosomycothiol reductase MscR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	18	1
Putative hydroxycinnamate transporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative inner membrane protein YjeT (clustered with HflC)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative insecticidal toxin complex	10	1	1	1	1	6	1	1	1	1	0	1	3	0	1	1	1	7	1	1
Putative iron-containing NADPH-dependent propanol dehydrogenase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative iron-regulated membrane protein FtpC in pyochelin gene cluster	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative iron-regulated membrane protein, PA2403 homolog	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative lipase in cluster with Phosphatidate cytidylyltransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative lipoprotein required for motility	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative lipoprotein, similar to CjrA of Escherichia coli O164	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative major teichoic acid biosynthesis protein C	10	0	1	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0
Putative malate dehydrogenase (EC 1.1.1.37), similar to archaeal MJ1425	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative membrane protein found fused to lysyl-tRNA synthetase like protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative membrane protein precursor SPs0273	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative membrane protein YeiH	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative membrane protein YfcA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Putative membrane protein, clustering with ActP	10	1	1	1	1	1	1	1	1	1	8	1	3	10	1	1	1	4	1	1
